qid;query;system;rank;doc_id;score;expanded_query;title;url;relevance
1;audit internal;FT;1;3809;0.7131459712982178;audit internal audit. auditnya pengaudit auditor auditan auditing mengaudit auditee pengauditan Audit eksternal internal-eksternal internal. internal- internalnya eskternal Internal ekternal internal-internal eksternal.;PENGARUH STRUKTUR AUDIT,KONFLIK PERAN,BUDAYA ORGANISASI,KOMITMEN ORGANISASI,DAN INDEPENDENSI TERHADAP KINERJA AUDITOR;https://repository.upnjatim.ac.id/20481/;1
1;audit internal;FT_FILTER;1;3809;0.7420703172683716;audit internal auditor eksternal;PENGARUH STRUKTUR AUDIT,KONFLIK PERAN,BUDAYA ORGANISASI,KOMITMEN ORGANISASI,DAN INDEPENDENSI TERHADAP KINERJA AUDITOR;https://repository.upnjatim.ac.id/20481/;1
1;audit internal;HYBRID;1;9022;0.7162964344024658;audit internal tenure auditor arl lag going independensi concern komite report kap eksternal;PENGARUH AUDIT TENURE DAN UKURAN KAP TERHADAP AUDIT REPORT LAG (ARL) DENGAN KUALITAS AUDIT SEBAGAI VARIABEL INTERVENING (Studi Pada Perusahaan BUMN Yang Terdaftar di Bursa Efek Indonesia Periode 2015-2019);https://repository.upnjatim.ac.id/3599/;1
1;audit internal;HYBRID_FILTER;1;9022;0.7116035223007202;audit internal tenure auditor lag going independensi concern komite report kap eksternal;PENGARUH AUDIT TENURE DAN UKURAN KAP TERHADAP AUDIT REPORT LAG (ARL) DENGAN KUALITAS AUDIT SEBAGAI VARIABEL INTERVENING (Studi Pada Perusahaan BUMN Yang Terdaftar di Bursa Efek Indonesia Periode 2015-2019);https://repository.upnjatim.ac.id/3599/;1
1;audit internal;W2V;1;9022;0.7162964344024658;audit internal tenure auditor arl lag going independensi concern komite report kap eksternal;PENGARUH AUDIT TENURE DAN UKURAN KAP TERHADAP AUDIT REPORT LAG (ARL) DENGAN KUALITAS AUDIT SEBAGAI VARIABEL INTERVENING (Studi Pada Perusahaan BUMN Yang Terdaftar di Bursa Efek Indonesia Periode 2015-2019);https://repository.upnjatim.ac.id/3599/;1
1;audit internal;W2V_FILTER;1;9022;0.7116035223007202;audit internal tenure auditor lag going independensi concern komite report kap eksternal;PENGARUH AUDIT TENURE DAN UKURAN KAP TERHADAP AUDIT REPORT LAG (ARL) DENGAN KUALITAS AUDIT SEBAGAI VARIABEL INTERVENING (Studi Pada Perusahaan BUMN Yang Terdaftar di Bursa Efek Indonesia Periode 2015-2019);https://repository.upnjatim.ac.id/3599/;1
1;audit internal;NO QE;1;10222;0.6696237921714783;audit internal;Pengaruh Teknologi Cybersecurity dan Kompetensi Auditor Terhadap Kualitas Audit Di Era Digital;https://repository.upnjatim.ac.id/38695/;1
1;audit internal;HYBRID_FILTER;2;5523;0.6750842928886414;audit internal tenure auditor lag going independensi concern komite report kap eksternal;Determinan Audit Report Lag di Indonesia (Studi pada Perusahaan Properti Yang Terdaftar BEI pada 2021-2022);https://repository.upnjatim.ac.id/25230/;1
1;audit internal;W2V_FILTER;2;5523;0.6750842928886414;audit internal tenure auditor lag going independensi concern komite report kap eksternal;Determinan Audit Report Lag di Indonesia (Studi pada Perusahaan Properti Yang Terdaftar BEI pada 2021-2022);https://repository.upnjatim.ac.id/25230/;1
1;audit internal;FT;2;6178;0.687046229839325;audit internal audit. auditnya pengaudit auditor auditan auditing mengaudit auditee pengauditan Audit eksternal internal-eksternal internal. internal- internalnya eskternal Internal ekternal internal-internal eksternal.;DETERMINAN KUALITAS AUDIT DIMODERASI ETIKA AUDITOR;https://repository.upnjatim.ac.id/26710/;1
1;audit internal;HYBRID;2;9391;0.6423829197883606;audit internal tenure auditor arl lag going independensi concern komite report kap eksternal;DETERMINAN AUDIT REPORT LAG PADA PERUSAHAAN CONSUMER CYCLICALS DI BURSA EFEK INDONESIA TAHUN 2022-2023;https://repository.upnjatim.ac.id/37113/;1
1;audit internal;W2V;2;9391;0.6423829197883606;audit internal tenure auditor arl lag going independensi concern komite report kap eksternal;DETERMINAN AUDIT REPORT LAG PADA PERUSAHAAN CONSUMER CYCLICALS DI BURSA EFEK INDONESIA TAHUN 2022-2023;https://repository.upnjatim.ac.id/37113/;1
1;audit internal;FT_FILTER;2;10222;0.7083422541618347;audit internal auditor eksternal;Pengaruh Teknologi Cybersecurity dan Kompetensi Auditor Terhadap Kualitas Audit Di Era Digital;https://repository.upnjatim.ac.id/38695/;1
